Species1,Species_new
Aulacorhynchus haematopygus,Aulacorhynchus haematopygus
Myiophobus flavicans,Myiophobus flavicans
Lafresnaya lafresnayi,Lafresnaya lafresnayi
Zonotrichia capensis,Zonotrichia capensis
Phaethornis yaruqui,Phaethornis yaruqui
Anisognathus notabilis,Anisognathus notabilis
Nothocercus bonapartei,Nothocercus bonapartei
Ramphocelus flammigerus,Ramphocelus flammigerus
Arremon atricapillus,Arremon atricapillus
Buscar,Buscar
Clibanornis rubiginosus,Clibanornis rubiginosus
Oreothraupis arremonops,Oreothraupis arremonops
Thraupis cyanocephala,Thraupis cyanocephala
Henicorhina leucosticta,Henicorhina leucosticta
Islerothraupis luctuosa,Islerothraupis luctuosa
Ochthoeca diadema,Ochthoeca diadema
Chlorospingus canigularis,Chlorospingus canigularis
Tangara icterocephala,Tangara icterocephala
Glyphorynchus spirurus,Glyphorynchus spirurus
Margarornis squamiger,Margarornis squamiger
Lepidocolaptes lacrymiger,Lepidocolaptes lacrymiger
Grallaricula flavirostris,Grallaricula flavirostris
Conopophaga castaneiceps,Conopophaga castaneiceps
Turdus serranus,Turdus serranus
Pygochelidon cyanoleuca,Pygochelidon cyanoleuca
Picumnus cinnamomeus,Picumnus cinnamomeus
Aglaiocercus coelestis ,Aglaiocercus coelestis
Catamblyrhynchus diadema,Catamblyrhynchus diadema
Margarornis stellatus,Margarornis stellatus
Chaetocercus mulsant ,Chaetocercus mulsant
Phylloscartes ophthalmicus,Phylloscartes ophthalmicus
Pipreola arcuata,Pipreola arcuata
Formicarius rufipectus,Formicarius rufipectus
Chlorospingus flavigularis,Chlorospingus flavigularis
Chlorothraupis stolzmanni,Chlorothraupis stolzmanni
